"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Andrew Harrison","MEM",56,1326,138,48,3,2,4,2,12,12,5,3,0,1,167
"Manu Ginobili","SAS",65,1299,126,39,4,4,2,1,15,12,8,3,2,0,140
"Montrezl Harrell","LAC",76,1293,143,86,10,18,6,2,2,11,2,5,0,3,185
"Patrick Patterson","OKC",82,1270,87,38,8,5,11,1,4,1,0,3,0,1,52
"Maurice Harkless","POR",59,1264,103,60,3,2,7,2,2,0,1,2,0,0,51
"Emmanuel Mudiay","NYK",64,1244,80,41,1,2,1,3,2,2,2,5,1,0,111
"Skal Labissiere","SAC",60,1240,132,65,9,11,6,4,3,2,1,2,0,3,120
"Thon Maker","MIL",74,1238,162,94,9,5,6,0,4,3,3,1,0,1,82
"D'Angelo Russell","BKN",48,1234,93,37,5,1,5,2,5,1,4,2,0,0,137
"Rudy Gay","SAS",57,1231,98,58,6,7,6,4,3,2,1,2,0,1,118
"Corey Brewer","OKC",72,1208,139,52,6,5,3,5,17,12,10,1,0,1,90
"Maxi Kleber","DAL",72,1206,114,63,7,6,2,1,4,6,9,2,0,1,64
"Joe Johnson","HOU",55,1205,67,32,2,1,1,0,4,0,2,0,0,1,40
"Reggie Jackson","DET",45,1201,87,25,1,1,4,2,8,4,3,0,0,0,123
"Amir Johnson","PHI",74,1170,192,102,15,2,11,2,4,7,1,1,0,4,73
"Isaiah Taylor","ATL",67,1167,116,36,2,1,3,11,12,3,6,2,0,2,121
"Trevor Booker","IND",68,1158,119,51,15,10,8,3,1,3,3,6,0,0,80
"Sindarius Thornwell","LAC",73,1156,125,71,4,6,1,4,13,3,2,4,0,2,74
"Tyson Chandler","PHX",46,1151,106,47,11,23,19,1,4,1,2,0,0,7,105
"Semi Ojeleye","BOS",73,1150,91,38,6,1,0,3,1,7,1,0,0,2,37
"Royce O'Neale","UTA",69,1149,105,39,7,4,2,3,12,2,0,3,0,0,78
"Ian Mahinmi","WAS",77,1145,230,96,23,14,31,3,6,2,2,0,0,1,115
"Paul Millsap","DEN",38,1144,99,57,5,8,4,3,1,9,8,3,0,0,139
"Milos Teodosic","LAC",45,1134,103,29,3,1,4,1,5,8,6,2,0,1,65
"Alex Abrines","OKC",75,1134,124,68,3,5,0,1,3,3,8,0,0,0,53
"Jonas Jerebko","UTA",74,1134,127,58,6,6,3,4,3,4,12,3,1,1,57
"Shaun Livingston","GSW",71,1129,117,58,2,1,0,3,2,1,1,1,0,1,49
"Jodie Meeks","WAS",77,1119,55,27,2,1,1,0,5,3,1,0,0,1,78
"Tyler Zeller","MIL",66,1113,126,76,10,14,9,6,2,8,6,3,0,1,94
"Ben McLemore","MEM",56,1091,139,58,10,2,2,6,7,2,1,0,1,1,66
"Davis Bertans","SAS",77,1086,93,47,5,5,1,0,4,2,4,1,0,0,51
"Tristan Thompson","CLE",53,1072,102,51,16,18,14,0,2,0,1,1,0,0,93
"Tony Parker","SAS",55,1071,52,21,5,0,0,2,2,1,3,6,0,0,74
"Norman Powell","TOR",70,1061,111,38,3,1,1,5,1,2,2,8,0,0,52
"Mike Muscala","ATL",53,1060,80,46,7,16,7,3,0,1,0,0,0,4,61
"Alec Burks","UTA",64,1059,75,27,2,4,4,5,4,2,1,3,0,0,98
"Treveon Graham","CHA",63,1049,109,50,3,2,2,2,13,6,3,0,0,1,61
"Zach Collins","POR",66,1046,133,87,7,8,9,3,0,3,1,1,0,1,49
"Greg Monroe","BOS",51,1041,95,52,7,12,5,5,1,2,3,1,0,0,105
"Andre Roberson","OKC",39,1037,89,37,4,2,6,3,8,2,3,0,0,1,37
"Vince Carter","SAC",58,1026,96,59,2,5,3,1,6,2,2,1,1,0,59
"Wes Iwundu","ORL",62,1020,81,37,0,2,1,1,6,5,1,1,0,0,48
"Malcolm Delaney","ATL",54,1014,82,29,3,5,2,1,18,10,6,3,0,0,107
"Jameer Nelson","DET",50,1013,81,33,5,1,2,0,8,4,2,1,0,0,48
"David West","GSW",73,999,120,66,13,9,7,7,0,1,0,0,0,3,82
"Frank Mason","SAC",52,984,72,27,0,1,3,4,2,0,0,4,0,0,100
"Josh Huestis","OKC",69,981,82,49,2,5,0,1,5,2,5,0,0,0,25
"Cristiano Felicio","CHI",55,977,104,39,10,7,12,4,2,0,10,0,0,1,66
"Tyler Dorsey","ATL",56,974,63,31,2,1,1,2,5,1,2,3,0,0,68
"Zaza Pachulia","GSW",69,972,122,53,7,12,20,1,2,1,0,0,0,2,94
"Patrick McCaw","GSW",57,961,67,35,0,3,1,2,3,5,2,0,1,0,42
"Deyonta Davis","MEM",62,943,125,71,8,9,9,0,1,1,0,0,0,0,48
"Daniel Theis","BOS",63,936,157,103,9,18,9,3,1,1,1,0,0,3,86
"Gerald Green","HOU",41,929,87,50,3,1,3,1,2,1,2,2,0,0,47
"Jerryd Bayless","PHI",39,925,91,43,2,4,2,1,3,2,3,0,0,0,43
"Dion Waiters","MIA",30,918,61,31,2,1,4,4,4,0,2,5,0,0,74
